,id_localidade,validade_inicial,mens,recebimento
0,SBBH,2020-09-09 00:00:00,METAR SBBH 090000Z 10007KT CAVOK 24/13 Q1019=,2020-09-09 00:10:55
1,SBBH,2020-09-09 01:00:00,METAR SBBH 090100Z 10004KT CAVOK 22/13 Q1021=,2020-09-09 01:03:16
2,SBBH,2020-09-09 02:00:00,METAR SBBH 090200Z 11006KT CAVOK 21/13 Q1020=,2020-09-09 02:03:38
3,SBBH,2020-09-09 03:00:00,METAR SBBH 090300Z 10008KT CAVOK 22/14 Q1020=,2020-09-09 03:03:52
4,SBBH,2020-09-09 04:00:00,METAR SBBH 090400Z 11007KT CAVOK 21/14 Q1020=,2020-09-09 04:00:36
5,SBBH,2020-09-09 05:00:00,METAR SBBH 090500Z 10004KT CAVOK 20/13 Q1019=,2020-09-09 05:04:27
6,SBBH,2020-09-09 06:00:00,METAR SBBH 090600Z 10002KT CAVOK 20/13 Q1019=,2020-09-09 05:57:19
7,SBBH,2020-09-09 07:00:00,METAR SBBH 090700Z 10006KT CAVOK 19/12 Q1019=,2020-09-09 06:57:38
8,SBBH,2020-09-09 08:00:00,METAR SBBH 090800Z 11007KT CAVOK 18/12 Q1019=,2020-09-09 07:59:26
9,SBBH,2020-09-09 09:00:00,METAR SBBH 090900Z 00000KT CAVOK 17/12 Q1020=,2020-09-09 08:59:11
10,SBBH,2020-09-09 10:00:00,METAR SBBH 091000Z 10005KT CAVOK 19/13 Q1021=,2020-09-09 09:57:20
11,SBBH,2020-09-09 11:00:00,METAR SBBH 091100Z 10009KT CAVOK 22/12 Q1021=,2020-09-09 10:56:15
12,SBBH,2020-09-09 12:00:00,METAR SBBH 091200Z 10009KT CAVOK 25/11 Q1023=,2020-09-09 11:58:46
13,SBBH,2020-09-09 13:00:00,METAR SBBH 091300Z 09007KT CAVOK 26/11 Q1022=,2020-09-09 12:55:05
14,SBBH,2020-09-09 14:00:00,METAR SBBH 091400Z 08010KT CAVOK 29/08 Q1022=,2020-09-09 13:58:24
15,SBBH,2020-09-09 15:00:00,METAR SBBH 091500Z 10010KT CAVOK 29/08 Q1021=,2020-09-09 14:57:08
16,SBBH,2020-09-09 16:00:00,METAR SBBH 091600Z 07007KT CAVOK 31/09 Q1021=,2020-09-09 15:55:09
17,SBBH,2020-09-09 17:00:00,METAR SBBH 091700Z 10010KT CAVOK 31/08 Q1020=,2020-09-09 16:57:49
18,SBBH,2020-09-09 18:00:00,METAR SBBH 091800Z 06008KT CAVOK 31/07 Q1019=,2020-09-09 17:57:01
19,SBBH,2020-09-09 19:00:00,METAR SBBH 091900Z 10010KT CAVOK 31/03 Q1019=,2020-09-09 18:57:00
20,SBBH,2020-09-09 20:00:00,METAR SBBH 092000Z 10009KT CAVOK 29/05 Q1019=,2020-09-09 19:56:16
21,SBBH,2020-09-09 21:00:00,METAR SBBH 092100Z 09008KT CAVOK 27/06 Q1020=,2020-09-09 20:58:01
22,SBBH,2020-09-09 22:00:00,METAR SBBH 092200Z 10010KT CAVOK 26/09 Q1021=,2020-09-09 21:56:11
23,SBBH,2020-09-09 23:00:00,METAR SBBH 092300Z 10008KT CAVOK 24/10 Q1022=,2020-09-09 22:55:05
24,SBBH,2020-09-10 00:00:00,METAR SBBH 100000Z 10006KT CAVOK 23/11 Q1023=,2020-09-09 23:57:11
25,SBBH,2020-09-10 01:00:00,METAR SBBH 100100Z 09005KT CAVOK 22/11 Q1023=,2020-09-10 00:56:37
26,SBBH,2020-09-10 02:00:00,METAR SBBH 100200Z 00000KT CAVOK 19/12 Q1024=,2020-09-10 01:57:19
27,SBBH,2020-09-10 03:00:00,METAR SBBH 100300Z 00000KT CAVOK 18/11 Q1024=,2020-09-10 02:58:46
28,SBBH,2020-09-10 04:00:00,METAR SBBH 100400Z 00000KT CAVOK 17/12 Q1023=,2020-09-10 04:04:42
29,SBBH,2020-09-10 05:00:00,METAR SBBH 100500Z 09004KT CAVOK 18/11 Q1022=,2020-09-10 04:58:35
30,SBBH,2020-09-10 06:00:00,METAR SBBH 100600Z 00000KT CAVOK 18/11 Q1022=,2020-09-10 05:58:31
31,SBBH,2020-09-10 07:00:00,METAR SBBH 100700Z 09003KT CAVOK 18/11 Q1022=,2020-09-10 06:57:10
32,SBBH,2020-09-10 08:00:00,METAR SBBH 100800Z 08003KT CAVOK 18/11 Q1022=,2020-09-10 07:57:14
33,SBBH,2020-09-10 09:00:00,METAR SBBH 100900Z 00000KT CAVOK 16/11 Q1022=,2020-09-10 08:58:13
34,SBBH,2020-09-10 10:00:00,METAR SBBH 101000Z 09004KT CAVOK 19/11 Q1023=,2020-09-10 09:58:12
35,SBBH,2020-09-10 11:00:00,METAR SBBH 101100Z 10010KT CAVOK 21/11 Q1024=,2020-09-10 10:57:30
36,SBBH,2020-09-10 12:00:00,METAR SBBH 101200Z 09007KT CAVOK 23/11 Q1024=,2020-09-10 12:00:29
37,SBBH,2020-09-10 13:00:00,METAR SBBH 101300Z 10007KT CAVOK 25/11 Q1024=,2020-09-10 12:58:50
38,SBBH,2020-09-10 14:00:00,METAR SBBH 101400Z 10006KT CAVOK 27/08 Q1023=,2020-09-10 13:56:43
39,SBBH,2020-09-10 15:00:00,METAR SBBH 101500Z 00000KT CAVOK 29/07 Q1022=,2020-09-10 14:56:05
40,SBBH,2020-09-10 16:00:00,METAR SBBH 101600Z 11007KT CAVOK 30/07 Q1021=,2020-09-10 15:57:04
41,SBBH,2020-09-10 17:00:00,METAR SBBH 101700Z 10005KT CAVOK 31/04 Q1020=,2020-09-10 16:56:38
42,SBBH,2020-09-10 18:00:00,METAR SBBH 101800Z 27005KT CAVOK 32/00 Q1019=,2020-09-10 17:56:45
43,SBBH,2020-09-10 19:00:00,METAR SBBH 101900Z 25004KT CAVOK 31/M01 Q1018=,2020-09-10 18:57:33
44,SBBH,2020-09-10 20:00:00,METAR SBBH 102000Z 06004KT CAVOK 31/00 Q1018=,2020-09-10 19:56:11
45,SBBH,2020-09-10 21:00:00,METAR SBBH 102100Z 05006KT CAVOK 28/05 Q1018=,2020-09-10 20:57:04
46,SBBH,2020-09-10 22:00:00,METAR SBBH 102200Z 10004KT CAVOK 26/06 Q1019=,2020-09-10 21:59:15
47,SBBH,2020-09-10 23:00:00,METAR SBBH 102300Z 07004KT CAVOK 24/08 Q1020=,2020-09-10 22:55:33
48,SBBH,2020-09-11 00:00:00,METAR SBBH 110000Z 00000KT CAVOK 21/10 Q1020=,2020-09-10 23:55:11
49,SBBH,2020-09-11 01:00:00,METAR SBBH 110100Z 09004KT CAVOK 22/12 Q1020=,2020-09-11 00:57:29
50,SBBH,2020-09-11 02:00:00,METAR SBBH 110200Z 10007KT CAVOK 22/13 Q1021=,2020-09-11 01:55:06
51,SBBH,2020-09-11 03:00:00,METAR SBBH 110300Z 10007KT CAVOK 21/13 Q1020=,2020-09-11 02:56:43
52,SBBH,2020-09-11 04:00:00,METAR SBBH 110400Z 10008KT CAVOK 21/13 Q1019=,2020-09-11 03:56:39
53,SBBH,2020-09-11 05:00:00,METAR SBBH 110500Z 10008KT CAVOK 20/13 Q1019=,2020-09-11 04:56:06
54,SBBH,2020-09-11 06:00:00,METAR SBBH 110600Z 09007KT CAVOK 19/13 Q1018=,2020-09-11 05:56:59
55,SBBH,2020-09-11 07:00:00,METAR SBBH 110700Z 09006KT CAVOK 19/12 Q1018=,2020-09-11 06:56:20
56,SBBH,2020-09-11 08:00:00,METAR SBBH 110800Z 09005KT CAVOK 18/12 Q1019=,2020-09-11 07:56:30
57,SBBH,2020-09-11 09:00:00,METAR SBBH 110900Z 09004KT CAVOK 18/12 Q1019=,2020-09-11 09:01:58
58,SBBH,2020-09-11 10:00:00,METAR SBBH 111000Z 10007KT CAVOK 19/12 Q1020=,2020-09-11 09:57:40
59,SBBH,2020-09-11 11:00:00,METAR SBBH 111100Z 09008KT CAVOK 21/12 Q1021=,2020-09-11 10:57:25
60,SBBH,2020-09-11 12:00:00,METAR SBBH 111200Z 10010KT CAVOK 24/12 Q1021=,2020-09-11 11:57:07
61,SBBH,2020-09-11 13:00:00,METAR SBBH 111300Z 07005KT CAVOK 26/11 Q1021=,2020-09-11 12:56:44
62,SBBH,2020-09-11 14:00:00,METAR SBBH 111400Z 09005KT CAVOK 29/10 Q1021=,2020-09-11 13:57:54
63,SBBH,2020-09-11 15:00:00,METAR SBBH 111500Z 08003KT CAVOK 30/08 Q1020=,2020-09-11 14:55:06
64,SBBH,2020-09-11 16:00:00,METAR SBBH 111600Z 06005KT CAVOK 32/06 Q1019=,2020-09-11 15:57:21
65,SBBH,2020-09-11 17:00:00,METAR SBBH 111700Z 07009KT CAVOK 32/02 Q1018=,2020-09-11 16:56:35
66,SBBH,2020-09-11 18:00:00,METAR SBBH 111800Z 06009KT CAVOK 32/02 Q1018=,2020-09-11 17:57:21
67,SBBH,2020-09-11 19:00:00,METAR SBBH 111900Z 09009KT CAVOK 31/05 Q1018=,2020-09-11 18:55:40
68,SBBH,2020-09-11 20:00:00,METAR SBBH 112000Z 07008KT CAVOK 30/06 Q1018=,2020-09-11 19:57:05
69,SBBH,2020-09-11 21:00:00,METAR SBBH 112100Z 06004KT CAVOK 28/07 Q1019=,2020-09-11 20:58:05
70,SBBH,2020-09-11 22:00:00,METAR SBBH 112200Z 00000KT CAVOK 23/08 Q1019=,2020-09-11 21:56:07
71,SBBH,2020-09-11 23:00:00,METAR SBBH 112300Z 00000KT CAVOK 23/08 Q1020=,2020-09-11 22:56:16
72,SBBH,2020-09-12 00:00:00,METAR SBBH 120000Z 00000KT CAVOK 22/08 Q1020=,2020-09-11 23:59:04
73,SBBH,2020-09-12 01:00:00,METAR SBBH 120100Z 00000KT CAVOK 21/09 Q1021=,2020-09-12 00:57:50
74,SBBH,2020-09-12 02:00:00,METAR SBBH 120200Z 10004KT CAVOK 21/09 Q1021=,2020-09-12 02:00:44
75,SBBH,2020-09-12 03:00:00,METAR SBBH 120300Z 07003KT CAVOK 20/10 Q1021=,2020-09-12 02:55:21
76,SBBH,2020-09-12 04:00:00,METAR SBBH 120400Z 11003KT CAVOK 20/10 Q1020=,2020-09-12 04:00:16
77,SBBH,2020-09-12 05:00:00,METAR SBBH 120500Z 11003KT CAVOK 19/11 Q1020=,2020-09-12 04:56:55
78,SBBH,2020-09-12 06:00:00,METAR SBBH 120600Z 00000KT CAVOK 19/12 Q1019=,2020-09-12 05:58:43
79,SBBH,2020-09-12 07:00:00,METAR SBBH 120700Z 00000KT CAVOK 18/10 Q1020=,2020-09-12 06:57:33
80,SBBH,2020-09-12 08:00:00,METAR SBBH 120800Z 00000KT CAVOK 18/10 Q1020=,2020-09-12 07:57:02
81,SBBH,2020-09-12 09:00:00,METAR SBBH 120900Z 00000KT CAVOK 17/12 Q1021=,2020-09-12 08:57:56
82,SBBH,2020-09-12 10:00:00,METAR SBBH 121000Z 11005KT CAVOK 19/11 Q1022=,2020-09-12 09:59:05
83,SBBH,2020-09-12 11:00:00,METAR SBBH 121100Z 10009KT CAVOK 22/12 Q1022=,2020-09-12 10:56:08
84,SBBH,2020-09-12 12:00:00,METAR SBBH 121200Z 11009KT CAVOK 24/12 Q1023=,2020-09-12 11:57:35
85,SBBH,2020-09-12 13:00:00,METAR SBBH 121300Z 05007KT CAVOK 26/12 Q1023=,2020-09-12 12:57:26
86,SBBH,2020-09-12 14:00:00,METAR SBBH 121400Z 08006KT CAVOK 28/11 Q1022=,2020-09-12 13:57:19
87,SBBH,2020-09-12 15:00:00,METAR SBBH 121500Z 12004KT CAVOK 29/10 Q1022=,2020-09-12 14:58:38
88,SBBH,2020-09-12 16:00:00,METAR SBBH 121600Z 04007KT 9999 FEW035 31/09 Q1021=,2020-09-12 15:57:25
89,SBBH,2020-09-12 17:00:00,METAR SBBH 121700Z 07010KT CAVOK 31/02 Q1020=,2020-09-12 16:58:45
90,SBBH,2020-09-12 18:00:00,METAR SBBH 121800Z 08011KT CAVOK 31/03 Q1019=,2020-09-12 18:00:48
91,SBBH,2020-09-12 19:00:00,METAR SBBH 121900Z 07010KT CAVOK 30/02 Q1019=,2020-09-12 20:25:25
92,SBBH,2020-09-12 20:00:00,METAR SBBH 122000Z 09009KT CAVOK 29/05 Q1020=,2020-09-12 20:41:45
93,SBBH,2020-09-12 21:00:00,METAR SBBH 122100Z 09009KT CAVOK 27/07 Q1020=,2020-09-12 20:55:12
94,SBBH,2020-09-12 22:00:00,METAR SBBH 122200Z 10007KT CAVOK 25/07 Q1021=,2020-09-12 22:00:45
95,SBBH,2020-09-12 23:00:00,METAR SBBH 122300Z 11008KT CAVOK 24/08 Q1022=,2020-09-12 22:55:33
96,SBBH,2020-09-13 00:00:00,METAR SBBH 130000Z 10005KT CAVOK 23/09 Q1022=,2020-09-12 23:57:29
