,id_localidade,validade_inicial,mens,recebimento
0,SBBR,2017-09-09 00:00:00,METAR SBBR 090000Z 14004KT 110V180 CAVOK 22/04 Q1019=,2017-09-08 23:52:55
1,SBBR,2017-09-09 01:00:00,METAR SBBR 090100Z 10005KT 050V150 CAVOK 22/03 Q1020=,2017-09-09 00:54:30
2,SBBR,2017-09-09 02:00:00,METAR SBBR 090200Z 17004KT 100V230 CAVOK 20/04 Q1020=,2017-09-09 01:55:38
3,SBBR,2017-09-09 03:00:00,METAR SBBR 090300Z 14005KT CAVOK 19/03 Q1020=,2017-09-09 02:57:13
4,SBBR,2017-09-09 04:00:00,METAR SBBR 090400Z 10006KT CAVOK 20/03 Q1019=,2017-09-09 03:59:21
5,SBBR,2017-09-09 05:00:00,METAR SBBR 090500Z 11004KT CAVOK 16/04 Q1019=,2017-09-09 05:01:55
6,SBBR,2017-09-09 06:00:00,METAR SBBR 090600Z 21003KT CAVOK 18/04 Q1018=,2017-09-09 06:03:19
7,SBBR,2017-09-09 07:00:00,METAR SBBR 090700Z 17004KT CAVOK 18/04 Q1018=,2017-09-09 07:02:01
8,SBBR,2017-09-09 08:00:00,METAR SBBR 090800Z 00000KT CAVOK 14/05 Q1019=,2017-09-09 08:01:50
9,SBBR,2017-09-09 09:00:00,METAR SBBR 090900Z 00000KT CAVOK 15/04 Q1020=,2017-09-09 09:02:49
10,SBBR,2017-09-09 10:00:00,METAR SBBR 091000Z 14005KT CAVOK 18/04 Q1021=,2017-09-09 10:01:53
11,SBBR,2017-09-09 11:00:00,METAR SBBR 091100Z 13010KT CAVOK 19/04 Q1021=,2017-09-09 11:02:25
12,SBBR,2017-09-09 12:00:00,METAR SBBR 091200Z 05014KT CAVOK 21/05 Q1022=,2017-09-09 11:56:44
13,SBBR,2017-09-09 13:00:00,METAR SBBR 091300Z 06013KT CAVOK 24/06 Q1022=,2017-09-09 12:58:12
14,SBBR,2017-09-09 14:00:00,METAR SBBR 091400Z 06013KT 030V090 CAVOK 25/05 Q1021=,2017-09-09 13:58:10
15,SBBR,2017-09-09 15:00:00,METAR SBBR 091500Z 05011KT CAVOK 26/04 Q1020=,2017-09-09 14:57:14
16,SBBR,2017-09-09 16:00:00,METAR SBBR 091600Z 10008KT 070V160 CAVOK 28/04 Q1020=,2017-09-09 15:57:26
17,SBBR,2017-09-09 17:00:00,METAR SBBR 091700Z 09009KT 060V160 CAVOK 29/04 Q1019=,2017-09-09 16:57:12
18,SBBR,2017-09-09 18:00:00,METAR SBBR 091800Z 06006G18KT 020V140 CAVOK 29/02 Q1018=,2017-09-09 18:00:48
19,SBBR,2017-09-09 19:00:00,METAR SBBR 091900Z 10006KT 030V200 CAVOK 29/02 Q1018=,2017-09-09 18:58:04
20,SBBR,2017-09-09 20:00:00,METAR SBBR 092000Z 10011KT 070V130 CAVOK 28/02 Q1018=,2017-09-09 19:59:57
21,SBBR,2017-09-09 21:00:00,METAR SBBR 092100Z 10008KT CAVOK 26/03 Q1018=,2017-09-09 20:57:02
22,SBBR,2017-09-09 22:00:00,METAR SBBR 092200Z 10008KT CAVOK 23/04 Q1019=,2017-09-09 21:56:54
23,SBBR,2017-09-09 23:00:00,METAR SBBR 092300Z 09007KT CAVOK 21/04 Q1020=,2017-09-09 22:56:43
24,SBBR,2017-09-10 00:00:00,METAR SBBR 100000Z 07006KT CAVOK 20/05 Q1021=,2017-09-09 23:56:22
25,SBBR,2017-09-10 01:00:00,METAR SBBR 100100Z 09005KT CAVOK 19/05 Q1021=,2017-09-10 00:56:08
26,SBBR,2017-09-10 02:00:00,METAR SBBR 100200Z 08007KT CAVOK 18/05 Q1021=,2017-09-10 01:56:45
27,SBBR,2017-09-10 03:00:00,METAR SBBR 100300Z 08004KT CAVOK 18/05 Q1021=,2017-09-10 02:55:14
28,SBBR,2017-09-10 04:00:00,METAR SBBR 100400Z 11003KT CAVOK 16/06 Q1019=,2017-09-10 04:02:01
29,SBBR,2017-09-10 05:00:00,METAR SBBR 100500Z 09002KT CAVOK 15/06 Q1019=,2017-09-10 05:01:51
30,SBBR,2017-09-10 06:00:00,METAR SBBR 100600Z 00000KT CAVOK 15/06 Q1019=,2017-09-10 06:02:48
31,SBBR,2017-09-10 07:00:00,METAR SBBR 100700Z 19004KT CAVOK 14/07 Q1019=,2017-09-10 07:02:14
32,SBBR,2017-09-10 08:00:00,METAR SBBR 100800Z 19004KT CAVOK 13/06 Q1020=,2017-09-10 08:02:10
33,SBBR,2017-09-10 09:00:00,METAR SBBR 100900Z 30003KT CAVOK 13/07 Q1020=,2017-09-10 09:02:46
34,SBBR,2017-09-10 10:00:00,METAR SBBR 101000Z 29003KT CAVOK 15/07 Q1020=,2017-09-10 09:52:04
35,SBBR,2017-09-10 11:00:00,METAR SBBR 101100Z 14007KT CAVOK 20/06 Q1021=,2017-09-10 10:56:21
