,id_localidade,validade_inicial,mens,recebimento
0,SBEN,2020-09-09 00:00:00,METAR SBEN 090000Z AUTO 09016KT 9999 NCD 23/20 Q1018 W23/S4=,2020-09-09 00:01:16
1,SBEN,2020-09-09 01:00:00,METAR SBEN 090100Z AUTO 09014KT 9999 NCD 23/20 Q1018 W23/S5=,2020-09-09 01:00:45
2,SBEN,2020-09-09 02:00:00,METAR SBEN 090200Z AUTO 08013KT 9999 NCD 23/20 Q1019 W23/S4=,2020-09-09 02:00:31
3,SBEN,2020-09-09 03:00:00,METAR SBEN 090300Z AUTO 09011KT 9999 BKN021 23/20 Q1019 W23/S4=,2020-09-09 03:00:37
4,SBEN,2020-09-09 04:00:00,METAR SBEN 090400Z AUTO 09010KT 9999 OVC022 23/20 Q1018 W23/S4=,2020-09-09 04:00:51
5,SBEN,2020-09-09 05:00:00,METAR SBEN 090500Z AUTO 09010KT 9999 BKN029 23/20 Q1018 W23/S4=,2020-09-09 05:00:59
6,SBEN,2020-09-09 06:00:00,METAR SBEN 090600Z AUTO 10010KT 9999 BKN029 23/20 Q1018 W23/S4=,2020-09-09 06:00:52
7,SBEN,2020-09-09 07:00:00,METAR SBEN 090700Z AUTO 10011KT 9999 BKN022 23/20 Q1018 W23/S4=,2020-09-09 07:00:42
8,SBEN,2020-09-09 08:00:00,METAR SBEN 090800Z AUTO 09012KT 9999 NCD 23/20 Q1018 W23/S4=,2020-09-09 08:00:44
9,SBEN,2020-09-09 09:00:00,METAR SBEN 090900Z AUTO 09010KT 9999 NCD 23/21 Q1019 W23/S4=,2020-09-09 09:00:47
10,SBEN,2020-09-09 09:45:00,SPECI SBEN 090945Z AUTO 10010KT //// NCD 23/21 Q1019 W23///=,2020-09-09 09:46:18
11,SBEN,2020-09-09 10:00:00,METAR SBEN 091000Z AUTO 10010KT 9999 NCD 23/21 Q1019 W23///=,2020-09-09 10:00:49
12,SBEN,2020-09-09 10:20:00,SPECI SBEN 091020Z AUTO 10011KT //// NCD 23/21 Q1020 W23///=,2020-09-09 10:21:35
13,SBEN,2020-09-09 11:00:00,METAR SBEN 091100Z AUTO 10009KT 9999 NCD 24/21 Q1020 W23///=,2020-09-09 11:00:47
14,SBEN,2020-09-09 12:00:00,METAR SBEN 091200Z AUTO 10009KT 9999 NCD 24/21 Q1021 W23/S4=,2020-09-09 12:00:46
15,SBEN,2020-09-09 13:00:00,METAR SBEN 091300Z AUTO 10009KT 9999 NCD 24/21 Q1021 W23/S4=,2020-09-09 13:00:41
16,SBEN,2020-09-09 14:00:00,METAR SBEN 091400Z AUTO 10009KT 9999 NCD 24/21 Q1021 W23/S4=,2020-09-09 14:00:46
17,SBEN,2020-09-09 15:00:00,METAR SBEN 091500Z AUTO 10009KT 9999 NCD 24/20 Q1020 W23/S4=,2020-09-09 15:00:57
18,SBEN,2020-09-09 16:00:00,METAR SBEN 091600Z AUTO 10010KT 9999 NCD 24/21 Q1020 W23/S4=,2020-09-09 16:00:51
19,SBEN,2020-09-09 17:00:00,METAR SBEN 091700Z AUTO 10011KT 9999 NCD 24/21 Q1019 W23/S4=,2020-09-09 17:00:49
20,SBEN,2020-09-09 18:00:00,METAR SBEN 091800Z AUTO 10011KT 9999 NCD 24/20 Q1019 W23/S4=,2020-09-09 18:00:56
21,SBEN,2020-09-09 19:00:00,METAR SBEN 091900Z AUTO 11012KT 9999 NCD 24/20 Q1019 W23/S4=,2020-09-09 19:00:46
22,SBEN,2020-09-09 20:00:00,METAR SBEN 092000Z AUTO 12013KT 9999 NCD 24/20 Q1020 W23/S4=,2020-09-09 20:00:48
23,SBEN,2020-09-09 21:00:00,METAR SBEN 092100Z AUTO 12012KT 9999 NCD 23/20 Q1020 W23/S4=,2020-09-09 21:00:39
24,SBEN,2020-09-09 22:00:00,METAR SBEN 092200Z AUTO 12016KT 9999 NCD 24/20 Q1021 W23/S4=,2020-09-09 22:00:55
25,SBEN,2020-09-09 23:00:00,METAR SBEN 092300Z AUTO 11017KT 9999 NCD 24/20 Q1021 W23/S4=,2020-09-09 23:00:55
26,SBEN,2020-09-10 00:00:00,METAR SBEN 100000Z AUTO 13017KT 9999 NCD 24/19 Q1022 W23/S4=,2020-09-10 00:01:13
27,SBEN,2020-09-10 01:00:00,METAR SBEN 100100Z AUTO 12016KT 9999 NCD 24/19 Q1022 W23/S4=,2020-09-10 01:00:48
28,SBEN,2020-09-10 02:00:00,METAR SBEN 100200Z AUTO 12016KT 9999 NCD 23/19 Q1022 W23/S4=,2020-09-10 02:00:49
29,SBEN,2020-09-10 03:00:00,METAR SBEN 100300Z AUTO 11018KT 9999 NCD 24/18 Q1022 W23/S4=,2020-09-10 03:00:38
30,SBEN,2020-09-10 04:00:00,METAR SBEN 100400Z AUTO 10017KT 9999 NCD 23/19 Q1021 W23/S4=,2020-09-10 04:00:37
31,SBEN,2020-09-10 05:00:00,METAR SBEN 100500Z AUTO 10018KT 9999 NCD 23/19 Q1021 W23/S4=,2020-09-10 05:00:51
32,SBEN,2020-09-10 06:00:00,METAR SBEN 100600Z AUTO 10017KT 9999 NCD 23/19 Q1020 W23/S4=,2020-09-10 06:00:47
33,SBEN,2020-09-10 07:00:00,METAR SBEN 100700Z AUTO 10018KT 9999 NCD 23/19 Q1020 W23/S4=,2020-09-10 07:01:01
34,SBEN,2020-09-10 08:00:00,METAR SBEN 100800Z AUTO 09019KT 9999 NCD 23/19 Q1020 W23/S4=,2020-09-10 08:00:46
35,SBEN,2020-09-10 09:00:00,METAR SBEN 100900Z AUTO 09020KT 9999 NCD 23/20 Q1020 W23/S4=,2020-09-10 09:00:32
36,SBEN,2020-09-10 10:00:00,METAR SBEN 101000Z AUTO 08019KT 9999 NCD 23/20 Q1021 W23/S4=,2020-09-10 10:00:55
37,SBEN,2020-09-10 11:00:00,METAR SBEN 101100Z AUTO 09014KT 9999 NCD 24/20 Q1021 W23/S4=,2020-09-10 11:00:44
38,SBEN,2020-09-10 12:00:00,METAR SBEN 101200Z AUTO 08018KT 9999 NCD 24/20 Q1021 W23/S4=,2020-09-10 12:00:36
39,SBEN,2020-09-10 13:00:00,METAR SBEN 101300Z AUTO 07021KT 9999 NCD 24/20 Q1021 W23/S4=,2020-09-10 13:00:53
40,SBEN,2020-09-10 13:08:00,SPECI SBEN 101308Z AUTO 07019KT //// NCD 24/20 Q1021 W23/S4=,2020-09-10 13:10:13
41,SBEN,2020-09-10 14:00:00,METAR SBEN 101400Z AUTO 06021KT //// NCD 23/19 Q1020 W23/S4=,2020-09-10 14:00:52
42,SBEN,2020-09-10 15:00:00,METAR SBEN 101500Z AUTO 07023KT //// NCD 23/19 Q1020 W23/S4=,2020-09-10 15:00:39
43,SBEN,2020-09-10 16:00:00,METAR SBEN 101600Z AUTO 08024KT //// NCD 23/19 Q1018 W23/S4=,2020-09-10 16:00:49
44,SBEN,2020-09-10 17:00:00,METAR SBEN 101700Z AUTO 08025KT //// NCD 23/19 Q1017 W23/S4=,2020-09-10 17:00:49
45,SBEN,2020-09-10 18:00:00,METAR SBEN 101800Z AUTO 09021KT //// NCD 24/19 Q1017 W23/S4=,2020-09-10 18:00:53
46,SBEN,2020-09-10 19:00:00,METAR SBEN 101900Z AUTO 09023KT //// NCD 24/20 Q1017 W23/S4=,2020-09-10 19:00:52
47,SBEN,2020-09-10 20:00:00,METAR SBEN 102000Z AUTO 09026KT //// NCD 24/19 Q1016 W23/S4=,2020-09-10 20:00:49
48,SBEN,2020-09-10 21:00:00,METAR SBEN 102100Z AUTO 10027KT //// NCD 23/20 Q1016 W23/S4=,2020-09-10 21:00:58
49,SBEN,2020-09-10 22:00:00,METAR SBEN 102200Z AUTO 09027KT //// NCD 23/20 Q1016 W23/S4=,2020-09-10 22:01:04
50,SBEN,2020-09-10 23:00:00,METAR SBEN 102300Z AUTO 09028KT //// NCD 24/20 Q1016 W23/S4=,2020-09-10 23:00:51
