,id_localidade,validade_inicial,mens,recebimento
0,SBGL,2017-09-09 00:00:00,METAR SBGL 090000Z 12003KT CAVOK 23/17 Q1017=,2017-09-08 23:56:04
1,SBGL,2017-09-09 01:00:00,METAR SBGL 090100Z 09004KT CAVOK 21/17 Q1018=,2017-09-09 00:59:28
2,SBGL,2017-09-09 02:00:00,METAR SBGL 090200Z 08004KT CAVOK 21/17 Q1018=,2017-09-09 01:56:54
3,SBGL,2017-09-09 03:00:00,METAR SBGL 090300Z 11005KT CAVOK 19/16 Q1018=,2017-09-09 02:59:58
4,SBGL,2017-09-09 04:00:00,METAR SBGL 090400Z 10003KT CAVOK 19/15 Q1017=,2017-09-09 03:58:44
5,SBGL,2017-09-09 05:00:00,METAR SBGL 090500Z 10005KT CAVOK 19/16 Q1017=,2017-09-09 04:58:51
6,SBGL,2017-09-09 06:00:00,METAR SBGL 090600Z 12003KT CAVOK 18/15 Q1016=,2017-09-09 05:56:17
7,SBGL,2017-09-09 07:00:00,METAR SBGL 090700Z 11004KT CAVOK 18/15 Q1016=,2017-09-09 06:54:44
8,SBGL,2017-09-09 08:00:00,METAR SBGL 090800Z 10004KT CAVOK 18/15 Q1016=,2017-09-09 07:54:45
9,SBGL,2017-09-09 09:00:00,METAR SBGL 090900Z 11003KT CAVOK 17/15 Q1017=,2017-09-09 09:00:52
10,SBGL,2017-09-09 10:00:00,METAR SBGL 091000Z 08002KT CAVOK 20/17 Q1018=,2017-09-09 09:57:35
11,SBGL,2017-09-09 11:00:00,METAR SBGL 091100Z 08002KT CAVOK 22/16 Q1019=,2017-09-09 11:02:34
12,SBGL,2017-09-09 12:00:00,METAR SBGL 091200Z 04003KT CAVOK 24/16 Q1019=,2017-09-09 11:56:36
13,SBGL,2017-09-09 13:00:00,METAR SBGL 091300Z 36006KT CAVOK 26/15 Q1019=,2017-09-09 12:57:53
14,SBGL,2017-09-09 14:00:00,METAR SBGL 091400Z 04004KT CAVOK 28/15 Q1019=,2017-09-09 13:57:07
15,SBGL,2017-09-09 15:00:00,METAR SBGL 091500Z 03006KT CAVOK 29/15 Q1018=,2017-09-09 14:58:02
16,SBGL,2017-09-09 16:00:00,METAR SBGL 091600Z 20003KT CAVOK 30/10 Q1017=,2017-09-09 15:57:15
17,SBGL,2017-09-09 17:00:00,METAR SBGL 091700Z 14006KT CAVOK 31/08 Q1016=,2017-09-09 17:00:50
18,SBGL,2017-09-09 18:00:00,METAR SBGL 091800Z 13008KT CAVOK 29/13 Q1016=,2017-09-09 17:58:41
19,SBGL,2017-09-09 19:00:00,METAR SBGL 091900Z 14009KT CAVOK 29/14 Q1015=,2017-09-09 19:02:01
20,SBGL,2017-09-09 20:00:00,METAR SBGL 092000Z 13010KT CAVOK 27/15 Q1016=,2017-09-09 20:07:08
21,SBGL,2017-09-09 21:00:00,METAR SBGL 092100Z 10008KT CAVOK 26/17 Q1016=,2017-09-09 20:59:02
22,SBGL,2017-09-09 22:00:00,METAR SBGL 092200Z 10009KT CAVOK 25/17 Q1017=,2017-09-09 21:59:11
23,SBGL,2017-09-09 23:00:00,METAR SBGL 092300Z 10008KT CAVOK 24/18 Q1017=,2017-09-09 22:58:14
24,SBGL,2017-09-10 00:00:00,METAR SBGL 100000Z 11005KT CAVOK 23/17 Q1018=,2017-09-10 00:01:03
25,SBGL,2017-09-10 01:00:00,METAR SBGL 100100Z 10005KT CAVOK 22/17 Q1018=,2017-09-10 00:57:14
26,SBGL,2017-09-10 02:00:00,METAR SBGL 100200Z 10007KT CAVOK 22/17 Q1018=,2017-09-10 02:01:06
27,SBGL,2017-09-10 03:00:00,METAR SBGL 100300Z 10005KT CAVOK 22/17 Q1018=,2017-09-10 02:58:21
28,SBGL,2017-09-10 04:00:00,METAR SBGL 100400Z 11003KT CAVOK 21/17 Q1017=,2017-09-10 03:56:52
29,SBGL,2017-09-10 05:00:00,METAR SBGL 100500Z 13003KT CAVOK 20/17 Q1017=,2017-09-10 04:54:35
30,SBGL,2017-09-10 06:00:00,METAR COR SBGL 100600Z 11002KT CAVOK 20/16 Q1017=,2017-09-10 06:04:12
31,SBGL,2017-09-10 07:00:00,METAR SBGL 100700Z 00000KT CAVOK 19/16 Q1017=,2017-09-10 06:54:44
32,SBGL,2017-09-10 08:00:00,METAR SBGL 100800Z 00000KT CAVOK 19/16 Q1017=,2017-09-10 07:55:32
33,SBGL,2017-09-10 09:00:00,METAR SBGL 100900Z 12001KT CAVOK 19/17 Q1018=,2017-09-10 08:57:39
34,SBGL,2017-09-10 10:00:00,METAR SBGL 101000Z 14002KT CAVOK 21/18 Q1018=,2017-09-10 09:57:13
35,SBGL,2017-09-10 11:00:00,METAR SBGL 101100Z 15003KT CAVOK 23/18 Q1019=,2017-09-10 10:58:19
36,SBGL,2017-09-10 12:00:00,METAR SBGL 101200Z 01003KT CAVOK 25/16 Q1019=,2017-09-10 11:56:09
37,SBGL,2017-09-10 13:00:00,METAR SBGL 101300Z 01005KT CAVOK 27/15 Q1019=,2017-09-10 12:57:06
38,SBGL,2017-09-10 14:00:00,METAR SBGL 101400Z 10006KT CAVOK 29/15 Q1018=,2017-09-10 13:57:26
39,SBGL,2017-09-10 15:00:00,METAR SBGL 101500Z 09005KT 9999 FEW030 30/14 Q1017=,2017-09-10 14:56:09
40,SBGL,2017-09-10 16:00:00,METAR SBGL 101600Z 10005KT 9999 FEW030 31/13 Q1017=,2017-09-10 15:56:16
41,SBGL,2017-09-10 17:00:00,METAR SBGL 101700Z 05007KT 9999 FEW040 31/12 Q1016=,2017-09-10 16:57:42
42,SBGL,2017-09-10 18:00:00,METAR SBGL 101800Z 13010KT 9999 FEW040 31/13 Q1015=,2017-09-10 17:59:43
43,SBGL,2017-09-10 19:00:00,METAR SBGL 101900Z 14009KT 9999 FEW040 29/15 Q1015=,2017-09-10 18:59:11
44,SBGL,2017-09-10 20:00:00,METAR SBGL 102000Z 14010KT CAVOK 28/17 Q1015=,2017-09-10 19:58:10
45,SBGL,2017-09-10 21:00:00,METAR SBGL 102100Z 10016KT CAVOK 26/17 Q1016=,2017-09-10 21:03:00
46,SBGL,2017-09-10 22:00:00,METAR SBGL 102200Z 09015KT CAVOK 25/17 Q1016=,2017-09-10 21:50:18
47,SBGL,2017-09-10 23:00:00,METAR SBGL 102300Z 08017KT CAVOK 24/17 Q1017=,2017-09-10 22:55:05
48,SBGL,2017-09-11 00:00:00,METAR SBGL 110000Z 09012KT CAVOK 24/17 Q1017=,2017-09-10 23:58:21
49,SBGL,2017-09-11 01:00:00,METAR SBGL 110100Z 11006KT CAVOK 23/17 Q1018=,2017-09-11 01:00:26
50,SBGL,2017-09-11 02:00:00,METAR SBGL 110200Z 09007KT CAVOK 23/17 Q1018=,2017-09-11 01:58:36
51,SBGL,2017-09-11 03:00:00,METAR SBGL 110300Z 10004KT CAVOK 22/17 Q1018=,2017-09-11 02:56:57
52,SBGL,2017-09-11 04:00:00,METAR SBGL 110400Z 12005KT CAVOK 22/17 Q1018=,2017-09-11 04:01:04
53,SBGL,2017-09-11 05:00:00,METAR SBGL 110500Z 14002KT CAVOK 22/16 Q1018=,2017-09-11 05:03:09
54,SBGL,2017-09-11 06:00:00,METAR SBGL 110600Z 14002KT CAVOK 21/17 Q1018=,2017-09-11 05:59:43
55,SBGL,2017-09-11 07:00:00,METAR SBGL 110700Z 13002KT CAVOK 20/16 Q1018=,2017-09-11 07:06:26
56,SBGL,2017-09-11 08:00:00,METAR SBGL 110800Z 11003KT CAVOK 20/17 Q1018=,2017-09-11 08:00:45
57,SBGL,2017-09-11 09:00:00,METAR SBGL 110900Z 11003KT CAVOK 20/17 Q1018=,2017-09-11 08:59:47
58,SBGL,2017-09-11 10:00:00,METAR SBGL 111000Z 15002KT CAVOK 23/18 Q1019=,2017-09-11 10:02:46
59,SBGL,2017-09-11 11:00:00,METAR SBGL 111100Z 16005KT CAVOK 24/17 Q1020=,2017-09-11 10:57:32
60,SBGL,2017-09-11 12:00:00,METAR SBGL 111200Z 13002KT CAVOK 27/17 Q1020=,2017-09-11 11:57:58
61,SBGL,2017-09-11 13:00:00,METAR SBGL 111300Z 12006KT CAVOK 28/16 Q1020=,2017-09-11 12:57:23
62,SBGL,2017-09-11 14:00:00,METAR SBGL 111400Z 05007KT CAVOK 30/14 Q1019=,2017-09-11 13:58:48
63,SBGL,2017-09-11 15:00:00,METAR SBGL 111500Z 06007KT CAVOK 31/13 Q1018=,2017-09-11 15:02:27
64,SBGL,2017-09-11 16:00:00,METAR SBGL 111600Z 07005KT 9999 FEW030 32/12 Q1018=,2017-09-11 15:54:38
65,SBGL,2017-09-11 17:00:00,METAR SBGL 111700Z 07006KT 9999 FEW030 32/12 Q1017=,2017-09-11 16:59:45
66,SBGL,2017-09-11 18:00:00,METAR SBGL 111800Z 11005KT 9999 FEW030 32/12 Q1017=,2017-09-11 18:01:36
67,SBGL,2017-09-11 19:00:00,METAR SBGL 111900Z 08007KT 9999 FEW030 32/11 Q1016=,2017-09-11 18:59:57
68,SBGL,2017-09-11 20:00:00,METAR SBGL 112000Z 06006KT CAVOK 32/11 Q1016=,2017-09-11 20:01:25
69,SBGL,2017-09-11 21:00:00,METAR SBGL 112100Z 12008KT CAVOK 28/15 Q1017=,2017-09-11 20:57:00
70,SBGL,2017-09-11 22:00:00,METAR SBGL 112200Z 09010KT CAVOK 27/15 Q1017=,2017-09-11 21:56:14
71,SBGL,2017-09-11 23:00:00,METAR SBGL 112300Z 13003KT CAVOK 26/15 Q1018=,2017-09-11 22:55:58
72,SBGL,2017-09-12 00:00:00,METAR SBGL 120000Z 11003KT CAVOK 25/15 Q1019=,2017-09-11 23:59:18
73,SBGL,2017-09-12 01:00:00,METAR SBGL 120100Z 10006KT CAVOK 24/15 Q1019=,2017-09-12 00:58:09
74,SBGL,2017-09-12 02:00:00,METAR SBGL 120200Z 11004KT CAVOK 23/14 Q1019=,2017-09-12 02:07:22
75,SBGL,2017-09-12 03:00:00,METAR SBGL 120300Z 09003KT CAVOK 22/14 Q1018=,2017-09-12 02:50:56
76,SBGL,2017-09-12 04:00:00,METAR SBGL 120400Z 10004KT CAVOK 21/15 Q1018=,2017-09-12 03:57:58
77,SBGL,2017-09-12 05:00:00,METAR SBGL 120500Z 13001KT CAVOK 21/14 Q1018=,2017-09-12 04:53:32
78,SBGL,2017-09-12 06:00:00,METAR SBGL 120600Z 09003KT CAVOK 19/14 Q1017=,2017-09-12 05:55:00
79,SBGL,2017-09-12 07:00:00,METAR SBGL 120700Z 14001KT CAVOK 19/15 Q1017=,2017-09-12 06:53:52
80,SBGL,2017-09-12 08:00:00,METAR SBGL 120800Z 12003KT CAVOK 19/15 Q1018=,2017-09-12 07:54:05
81,SBGL,2017-09-12 09:00:00,METAR SBGL 120900Z 04003KT CAVOK 19/15 Q1018=,2017-09-12 08:55:48
82,SBGL,2017-09-12 10:00:00,METAR SBGL 121000Z 11001KT CAVOK 22/16 Q1019=,2017-09-12 09:55:41
83,SBGL,2017-09-12 11:00:00,METAR SBGL 121100Z 16002KT CAVOK 24/15 Q1019=,2017-09-12 11:00:41
84,SBGL,2017-09-12 12:00:00,METAR SBGL 121200Z 35003KT CAVOK 25/16 Q1020=,2017-09-12 11:49:48
85,SBGL,2017-09-12 13:00:00,METAR SBGL 121300Z 01003KT CAVOK 28/16 Q1020=,2017-09-12 12:52:36
86,SBGL,2017-09-12 14:00:00,METAR SBGL 121400Z 01004KT CAVOK 30/14 Q1019=,2017-09-12 14:01:37
87,SBGL,2017-09-12 15:00:00,METAR SBGL 121500Z 01004KT CAVOK 30/13 Q1019=,2017-09-12 14:53:53
88,SBGL,2017-09-12 16:00:00,METAR SBGL 121600Z 13008KT CAVOK 32/13 Q1018=,2017-09-12 15:56:27
89,SBGL,2017-09-12 17:00:00,METAR SBGL 121700Z 13010KT CAVOK 31/13 Q1017=,2017-09-12 17:02:33
