,id_localidade,validade_inicial,mens,recebimento
0,SBJH,2020-09-09 00:00:00,METAR SBJH 090000Z 12011KT CAVOK 18/16 Q1019=,2020-09-08 23:58:59
1,SBJH,2020-09-09 01:00:00,METAR SBJH 090100Z 10014KT 9999 SCT040 17/16 Q1019=,2020-09-09 00:59:46
2,SBJH,2020-09-09 02:00:00,METAR SBJH 090200Z 11010KT 9999 BKN025 17/16 Q1019=,2020-09-09 01:58:37
3,SBJH,2020-09-09 03:00:00,METAR SBJH 090300Z 12011KT 9999 OVC020 17/16 Q1019=,2020-09-09 02:57:08
4,SBJH,2020-09-09 04:00:00,METAR SBJH 090400Z 15011KT 9999 OVC020 18/16 Q1019=,2020-09-09 03:57:17
5,SBJH,2020-09-09 05:00:00,METAR SBJH 090500Z 12012KT 9999 BKN020 18/16 Q1018=,2020-09-09 04:59:05
6,SBJH,2020-09-09 06:00:00,METAR SBJH 090600Z 11009KT 9999 BKN020 18/16 Q1018=,2020-09-09 05:57:16
7,SBJH,2020-09-09 07:00:00,METAR SBJH 090700Z 12010KT 9999 BKN020 18/16 Q1018=,2020-09-09 06:57:32
8,SBJH,2020-09-09 08:00:00,METAR SBJH 090800Z 12011KT 9999 BKN020 18/16 Q1018=,2020-09-09 07:57:30
9,SBJH,2020-09-09 09:00:00,METAR SBJH 090900Z 12012KT 9999 SCT012 BKN020 18/16 Q1019=,2020-09-09 08:59:04
10,SBJH,2020-09-09 10:00:00,METAR SBJH 091000Z 12009KT 9999 SCT025 18/16 Q1020=,2020-09-09 09:58:19
11,SBJH,2020-09-09 11:00:00,METAR SBJH 091100Z 10012KT 9999 FEW030 19/16 Q1020=,2020-09-09 10:58:48
12,SBJH,2020-09-09 12:00:00,METAR SBJH 091200Z 10009KT CAVOK 21/16 Q1021=,2020-09-09 11:57:23
13,SBJH,2020-09-09 13:00:00,METAR SBJH 091300Z 10009KT CAVOK 23/16 Q1021=,2020-09-09 12:57:19
14,SBJH,2020-09-09 14:00:00,METAR SBJH 091400Z 08006KT CAVOK 26/16 Q1021=,2020-09-09 13:57:13
15,SBJH,2020-09-09 15:00:00,METAR SBJH 091500Z 32005KT CAVOK 27/15 Q1020=,2020-09-09 14:57:33
