,id_localidade,validade_inicial,mens,recebimento
0,SBJR,2020-09-09 09:30:00,SPECI SBJR 090930Z 00000KT 9999 FEW015 BKN040 20/20 Q1018=,2020-09-09 09:30:37
1,SBJR,2020-09-09 10:00:00,METAR SBJR 091000Z 00000KT 9999 BKN040 BKN060 21/21 Q1018=,2020-09-09 10:01:25
2,SBJR,2020-09-09 11:00:00,METAR SBJR 091100Z 00000KT 9999 SCT025 OVC060 23/21 Q1019=,2020-09-09 11:01:41
3,SBJR,2020-09-09 12:00:00,METAR SBJR 091200Z 00000KT 9999 SCT040 BKN060 24/21 Q1019=,2020-09-09 12:00:45
4,SBJR,2020-09-09 13:00:00,METAR SBJR 091300Z 19002KT 9999 FEW020 SCT040 BKN060 26/21 Q1020=,2020-09-09 13:02:07
5,SBJR,2020-09-09 14:00:00,METAR SBJR 091400Z 17004KT 9999 SCT020 BKN040 27/21 Q1019=,2020-09-09 14:01:17
6,SBJR,2020-09-09 15:00:00,METAR SBJR 091500Z 15007KT 9999 FEW020 BKN040 28/22 Q1018=,2020-09-09 14:59:53
7,SBJR,2020-09-09 16:00:00,METAR SBJR 091600Z 15009KT 9999 FEW020 28/21 Q1018=,2020-09-09 15:55:13
8,SBJR,2020-09-09 17:00:00,METAR SBJR 091700Z 16010KT 9999 FEW020 28/22 Q1017=,2020-09-09 16:55:29
9,SBJR,2020-09-09 18:00:00,METAR SBJR 091800Z 15009KT 9999 FEW020 28/22 Q1017=,2020-09-09 17:56:30
10,SBJR,2020-09-09 19:00:00,METAR SBJR 091900Z 14006KT 9999 FEW020 28/21 Q1017=,2020-09-09 18:56:07
11,SBJR,2020-09-09 20:00:00,METAR SBJR 092000Z 14007KT 9999 FEW018 SCT030 26/21 Q1017=,2020-09-09 19:56:03
12,SBJR,2020-09-09 21:00:00,METAR SBJR 092100Z 14006KT 9999 FEW030 26/21 Q1017=,2020-09-09 20:55:06
13,SBJR,2020-09-10 09:30:00,SPECI SBJR 100930Z 01003KT 9999 FEW018 21/21 Q1017=,2020-09-10 09:30:11
14,SBJR,2020-09-10 10:00:00,METAR SBJR 101000Z 36005KT 9999 FEW018 22/21 Q1017=,2020-09-10 09:55:08
15,SBJR,2020-09-10 11:00:00,METAR SBJR 101100Z 01007KT 9999 FEW018 24/21 Q1017=,2020-09-10 10:55:45
16,SBJR,2020-09-10 12:00:00,METAR SBJR 101200Z 02006KT CAVOK 26/21 Q1017=,2020-09-10 11:55:46
17,SBJR,2020-09-10 13:00:00,METAR SBJR 101300Z 02007KT CAVOK 29/21 Q1017=,2020-09-10 12:55:23
18,SBJR,2020-09-10 14:00:00,METAR SBJR 101400Z 02009KT CAVOK 31/20 Q1015=,2020-09-10 13:55:04
19,SBJR,2020-09-10 15:00:00,METAR SBJR 101500Z 01009KT CAVOK 33/20 Q1014=,2020-09-10 14:55:05
20,SBJR,2020-09-10 16:00:00,METAR SBJR 101600Z 02009KT CAVOK 34/20 Q1013=,2020-09-10 16:01:27
21,SBJR,2020-09-10 17:00:00,METAR SBJR 101700Z 02008KT CAVOK 35/19 Q1011=,2020-09-10 17:00:59
22,SBJR,2020-09-10 18:00:00,METAR SBJR 101800Z 01005KT CAVOK 36/20 Q1011=,2020-09-10 18:00:58
23,SBJR,2020-09-10 19:00:00,METAR SBJR 101900Z 20002KT CAVOK 31/22 Q1011=,2020-09-10 19:00:15
24,SBJR,2020-09-10 20:00:00,METAR SBJR 102000Z 23002KT CAVOK 29/22 Q1011=,2020-09-10 20:00:52
25,SBJR,2020-09-10 21:00:00,METAR SBJR 102100Z 28001KT CAVOK 25/22 Q1011=,2020-09-10 20:59:06
26,SBJR,2020-09-11 09:30:00,SPECI SBJR 110930Z 21002KT 6000 FEW020 BKN080 23/22 Q1015=,2020-09-11 09:29:38
27,SBJR,2020-09-11 09:40:00,SPECI SBJR 110940Z 22001KT 4000 BR FEW020 BKN080 23/22 Q1016=,2020-09-11 09:40:39
28,SBJR,2020-09-11 10:00:00,METAR SBJR 111000Z 22002KT 4000 BR FEW020 BKN070 23/22 Q1016=,2020-09-11 10:00:30
29,SBJR,2020-09-11 11:00:00,METAR SBJR 111100Z 21002KT 7000 SCT020 BKN070 24/22 Q1016=,2020-09-11 10:55:33
30,SBJR,2020-09-11 12:00:00,METAR SBJR 111200Z 22004KT 7000 SCT020 BKN070 27/22 Q1017=,2020-09-11 12:00:59
31,SBJR,2020-09-11 13:00:00,METAR SBJR 111300Z 20003KT 6000 SCT020 SCT070 27/22 Q1016=,2020-09-11 13:02:01
32,SBJR,2020-09-11 14:00:00,METAR SBJR 111400Z 20004KT 6000 SCT020 SCT060 27/22 Q1016=,2020-09-11 13:59:49
33,SBJR,2020-09-11 15:00:00,METAR SBJR 111500Z 22007KT 6000 SCT020 SCT060 29/22 Q1016=,2020-09-11 15:03:03
34,SBJR,2020-09-11 16:00:00,METAR SBJR 111600Z 18005KT 6000 SCT020 BKN060 27/22 Q1015=,2020-09-11 15:55:36
35,SBJR,2020-09-11 17:00:00,METAR SBJR 111700Z 19005KT 6000 BKN022 SCT060 27/22 Q1015=,2020-09-11 16:55:19
36,SBJR,2020-09-11 18:00:00,METAR SBJR 111800Z 19003KT 7000 FEW015 SCT025 26/22 Q1015=,2020-09-11 17:56:14
37,SBJR,2020-09-11 19:00:00,METAR SBJR 111900Z 18004KT 7000 SCT023 SCT070 25/21 Q1015=,2020-09-11 18:57:10
38,SBJR,2020-09-11 20:00:00,METAR SBJR 112000Z 20002KT 9999 FEW023 24/22 Q1015=,2020-09-11 19:55:35
39,SBJR,2020-09-11 21:00:00,METAR SBJR 112100Z 15004KT 9000 NSC 24/21 Q1015=,2020-09-11 20:56:56
40,SBJR,2020-09-12 09:30:00,SPECI SBJR 120930Z 36004KT CAVOK 23/22 Q1015=,2020-09-12 09:29:27
41,SBJR,2020-09-12 10:00:00,METAR COR SBJR 121000Z 35003KT 9999 4000E NSC 24/22 Q1015=,2020-09-12 10:01:36
42,SBJR,2020-09-12 11:00:00,METAR SBJR 121100Z 34002KT 9999 4000E NSC 27/23 Q1015=,2020-09-12 11:01:14
43,SBJR,2020-09-12 12:00:00,METAR SBJR 121200Z 36003KT CAVOK 30/22 Q1016=,2020-09-12 11:59:11
44,SBJR,2020-09-12 13:00:00,METAR SBJR 121300Z 02007KT CAVOK 32/21 Q1015=,2020-09-12 12:58:27
45,SBJR,2020-09-12 14:00:00,METAR SBJR 121400Z 18002KT CAVOK 30/23 Q1015=,2020-09-12 13:59:55
46,SBJR,2020-09-12 15:00:00,METAR SBJR 121500Z 17005KT CAVOK 32/22 Q1015=,2020-09-12 14:59:14
47,SBJR,2020-09-12 16:00:00,METAR SBJR 121600Z 18004KT CAVOK 32/22 Q1014=,2020-09-12 15:54:59
48,SBJR,2020-09-12 17:00:00,METAR SBJR 121700Z 18003KT CAVOK 34/21 Q1013=,2020-09-12 16:56:09
49,SBJR,2020-09-12 18:00:00,METAR SBJR 121800Z 16007KT CAVOK 33/21 Q1012=,2020-09-12 17:55:15
50,SBJR,2020-09-12 19:00:00,METAR SBJR 121900Z 22003KT CAVOK 31/23 Q1012=,2020-09-12 18:54:59
51,SBJR,2020-09-12 20:00:00,METAR SBJR 122000Z 25001KT CAVOK 29/24 Q1013=,2020-09-12 20:23:50
52,SBJR,2020-09-12 21:00:00,METAR SBJR 122100Z 28001KT CAVOK 25/22 Q1013=,2020-09-12 20:55:41
