,id_localidade,validade_inicial,mens,recebimento
0,SBMG,2017-09-09 00:00:00,METAR SBMG 090000Z 06009KT CAVOK 27/08 Q1013=,2017-09-09 00:00:59
1,SBMG,2017-09-09 01:00:00,METAR SBMG 090100Z 06011KT CAVOK 27/08 Q1014=,2017-09-09 00:59:36
2,SBMG,2017-09-09 02:00:00,METAR SBMG 090200Z 06012KT CAVOK 26/08 Q1014=,2017-09-09 01:59:35
3,SBMG,2017-09-09 03:00:00,METAR SBMG 090300Z 06015KT CAVOK 26/08 Q1014=,2017-09-09 02:59:26
4,SBMG,2017-09-09 04:00:00,METAR SBMG 090400Z 06012KT CAVOK 25/08 Q1014=,2017-09-09 03:58:36
5,SBMG,2017-09-09 05:00:00,METAR SBMG 090500Z 06015KT CAVOK 25/08 Q1013=,2017-09-09 04:58:12
6,SBMG,2017-09-09 06:00:00,METAR SBMG 090600Z 07014KT CAVOK 25/08 Q1013=,2017-09-09 05:56:31
7,SBMG,2017-09-09 07:00:00,METAR SBMG 090700Z 06018KT CAVOK 25/08 Q1012=,2017-09-09 07:01:04
8,SBMG,2017-09-09 08:00:00,METAR SBMG 090800Z 06015KT CAVOK 24/09 Q1012=,2017-09-09 08:00:00
9,SBMG,2017-09-09 09:00:00,METAR SBMG 090900Z 06016KT CAVOK 25/09 Q1013=,2017-09-09 08:58:58
10,SBMG,2017-09-09 10:00:00,METAR SBMG 091000Z 12003KT CAVOK 24/10 Q1014=,2017-09-09 10:01:47
11,SBMG,2017-09-09 11:00:00,METAR SBMG 091100Z 06015KT 9000 NSC 25/10 Q1014=,2017-09-09 11:00:41
12,SBMG,2017-09-09 12:00:00,METAR SBMG 091200Z 05015KT 9000 NSC 28/11 Q1015=,2017-09-09 12:00:48
13,SBMG,2017-09-09 12:10:00,SPECI SBMG 091210Z 04015G25KT 8000 NSC 28/10 Q1015=,2017-09-09 12:15:54
14,SBMG,2017-09-09 13:00:00,METAR SBMG 091300Z 03012G22KT 8000 NSC 29/10 Q1015=,2017-09-09 12:59:22
15,SBMG,2017-09-09 14:00:00,METAR SBMG 091400Z 02012G22KT 8000 NSC 31/10 Q1016=,2017-09-09 14:00:50
16,SBMG,2017-09-09 15:00:00,METAR SBMG 091500Z 02015G25KT 8000 NSC 31/10 Q1015=,2017-09-09 15:00:40
17,SBMG,2017-09-09 16:00:00,METAR SBMG 091600Z 02015G25KT CAVOK 33/10 Q1014=,2017-09-09 15:59:35
18,SBMG,2017-09-09 17:00:00,METAR SBMG 091700Z 01015KT CAVOK 32/10 Q1013=,2017-09-09 16:59:58
19,SBMG,2017-09-09 18:00:00,METAR SBMG 091800Z 01012G22KT CAVOK 33/11 Q1013=,2017-09-09 18:01:53
20,SBMG,2017-09-09 19:00:00,METAR SBMG 091900Z 01012KT CAVOK 34/10 Q1012=,2017-09-09 19:00:43
21,SBMG,2017-09-09 20:00:00,METAR SBMG 092000Z 01012KT CAVOK 33/10 Q1012=,2017-09-09 19:59:14
22,SBMG,2017-09-09 21:00:00,METAR SBMG 092100Z 03009KT CAVOK 31/09 Q1012=,2017-09-09 20:59:39
23,SBMG,2017-09-09 22:00:00,METAR SBMG 092200Z 04009KT CAVOK 29/10 Q1013=,2017-09-09 21:57:15
24,SBMG,2017-09-09 23:00:00,METAR SBMG 092300Z 04010KT CAVOK 28/09 Q1013=,2017-09-09 22:57:42
25,SBMG,2017-09-10 00:00:00,METAR SBMG 100000Z 03009KT CAVOK 28/10 Q1014=,2017-09-10 00:01:18
26,SBMG,2017-09-10 01:00:00,METAR SBMG 100100Z 03009KT CAVOK 27/09 Q1014=,2017-09-10 00:59:20
27,SBMG,2017-09-10 02:00:00,METAR SBMG 100200Z 05008KT CAVOK 27/09 Q1014=,2017-09-10 02:00:35
28,SBMG,2017-09-10 03:00:00,METAR SBMG 100300Z 04012KT CAVOK 27/09 Q1014=,2017-09-10 02:57:48
29,SBMG,2017-09-10 04:00:00,METAR SBMG 100400Z 03011KT CAVOK 27/09 Q1014=,2017-09-10 03:59:25
30,SBMG,2017-09-10 05:00:00,METAR SBMG 100500Z 03013KT CAVOK 26/09 Q1013=,2017-09-10 05:00:43
31,SBMG,2017-09-10 06:00:00,METAR SBMG 100600Z 04013KT CAVOK 26/09 Q1013=,2017-09-10 06:01:50
32,SBMG,2017-09-10 07:00:00,METAR SBMG 100700Z 05015KT CAVOK 26/09 Q1013=,2017-09-10 06:59:55
33,SBMG,2017-09-10 08:00:00,METAR SBMG 100800Z 05013G27KT CAVOK 26/09 Q1013=,2017-09-10 08:01:29
34,SBMG,2017-09-10 09:00:00,METAR SBMG 100900Z 04018G28KT CAVOK 25/09 Q1013=,2017-09-10 08:58:57
35,SBMG,2017-09-10 10:00:00,METAR SBMG 101000Z 03017G27KT CAVOK 24/09 Q1014=,2017-09-10 09:59:27
36,SBMG,2017-09-10 11:00:00,METAR SBMG 101100Z 03020G32KT 9000 NSC 25/09 Q1014=,2017-09-10 10:59:32
37,SBMG,2017-09-10 12:00:00,METAR SBMG 101200Z 03020G32KT 010V070 9000 NSC 26/09 Q1014=,2017-09-10 11:59:48
38,SBMG,2017-09-10 13:00:00,METAR SBMG 101300Z 02022G32KT 9000 NSC 28/09 Q1015=,2017-09-10 12:59:51
39,SBMG,2017-09-10 14:00:00,METAR SBMG 101400Z 02022G32KT 9000 NSC 30/09 Q1015=,2017-09-10 14:00:47
40,SBMG,2017-09-10 15:00:00,METAR SBMG 101500Z 01021G32KT 350V060 9000 NSC 31/09 Q1014=,2017-09-10 15:00:59
41,SBMG,2017-09-10 16:00:00,METAR SBMG 101600Z 02016G26KT 9000 NSC 32/09 Q1014=,2017-09-10 15:59:50
42,SBMG,2017-09-10 17:00:00,METAR SBMG 101700Z 01016G26KT CAVOK 33/10 Q1012=,2017-09-10 16:59:58
43,SBMG,2017-09-10 18:00:00,METAR SBMG 101800Z 03013G23KT CAVOK 34/09 Q1012=,2017-09-10 18:00:38
44,SBMG,2017-09-10 19:00:00,METAR SBMG 101900Z 02011G21KT CAVOK 34/09 Q1011=,2017-09-10 18:59:34
45,SBMG,2017-09-10 20:00:00,METAR SBMG 102000Z 01013KT CAVOK 33/09 Q1011=,2017-09-10 20:00:54
46,SBMG,2017-09-10 21:00:00,METAR SBMG 102100Z 03011KT CAVOK 30/09 Q1012=,2017-09-10 21:04:17
47,SBMG,2017-09-10 22:00:00,METAR SBMG 102200Z 04012KT 9000 NSC 29/08 Q1012=,2017-09-10 22:00:28
48,SBMG,2017-09-10 23:00:00,METAR SBMG 102300Z 03013KT 9000 NSC 28/08 Q1013=,2017-09-10 22:59:20
49,SBMG,2017-09-11 00:00:00,METAR SBMG 110000Z 03018KT CAVOK 28/08 Q1013=,2017-09-10 23:59:26
50,SBMG,2017-09-11 01:00:00,METAR SBMG 110100Z 02015KT CAVOK 27/08 Q1014=,2017-09-11 01:00:32
51,SBMG,2017-09-11 02:00:00,METAR SBMG 110200Z 02015KT CAVOK 26/08 Q1014=,2017-09-11 02:00:31
52,SBMG,2017-09-11 03:00:00,METAR SBMG 110300Z 03015KT CAVOK 26/08 Q1014=,2017-09-11 03:00:00
53,SBMG,2017-09-11 04:00:00,METAR SBMG 110400Z 03017KT CAVOK 27/08 Q1014=,2017-09-11 03:57:38
54,SBMG,2017-09-11 05:00:00,METAR SBMG 110500Z 03016KT CAVOK 27/07 Q1013=,2017-09-11 04:59:42
55,SBMG,2017-09-11 06:00:00,METAR SBMG 110600Z 02015KT CAVOK 26/07 Q1013=,2017-09-11 05:58:54
56,SBMG,2017-09-11 07:00:00,METAR SBMG 110700Z 01014KT CAVOK 25/08 Q1013=,2017-09-11 06:59:18
57,SBMG,2017-09-11 08:00:00,METAR SBMG 110800Z 02013KT CAVOK 25/08 Q1013=,2017-09-11 08:00:57
58,SBMG,2017-09-11 09:00:00,METAR SBMG 110900Z 02013KT CAVOK 25/07 Q1014=,2017-09-11 09:04:06
59,SBMG,2017-09-11 10:00:00,METAR SBMG 111000Z 02015KT 010V070 9000 NSC 24/08 Q1015=,2017-09-11 10:00:36
60,SBMG,2017-09-11 11:00:00,METAR SBMG 111100Z 02017KT 360V060 9000 NSC 26/09 Q1015=,2017-09-11 10:59:18
61,SBMG,2017-09-11 11:45:00,SPECI SBMG 111145Z 02017G27KT 010V070 9000 NSC 27/10 Q1016=,2017-09-11 11:48:03
62,SBMG,2017-09-11 12:00:00,METAR SBMG 111200Z 02019KT 010V070 9000 NSC 27/10 Q1016=,2017-09-11 11:59:08
63,SBMG,2017-09-11 12:32:00,SPECI SBMG 111232Z 02019G30KT 010V070 9000 NSC 28/11 Q1016=,2017-09-11 12:34:55
64,SBMG,2017-09-11 13:00:00,METAR SBMG 111300Z 01019G29KT 9000 NSC 29/11 Q1016=,2017-09-11 12:59:56
65,SBMG,2017-09-11 14:00:00,METAR SBMG 111400Z 02018G28KT 9000 NSC 31/12 Q1016=,2017-09-11 13:59:28
66,SBMG,2017-09-11 15:00:00,METAR SBMG 111500Z 01016G26KT 9000 NSC 32/12 Q1016=,2017-09-11 15:00:54
67,SBMG,2017-09-11 16:00:00,METAR SBMG 111600Z 34015KT CAVOK 33/10 Q1016=,2017-09-11 15:56:58
68,SBMG,2017-09-11 17:00:00,METAR SBMG 111700Z 31006KT CAVOK 34/12 Q1015=,2017-09-11 16:59:33
69,SBMG,2017-09-11 18:00:00,METAR SBMG 111800Z 32010KT CAVOK 33/12 Q1014=,2017-09-11 17:59:54
70,SBMG,2017-09-11 19:00:00,METAR SBMG 111900Z 29001KT CAVOK 35/13 Q1014=,2017-09-11 18:59:41
71,SBMG,2017-09-11 20:00:00,METAR SBMG 112000Z 29005KT CAVOK 33/12 Q1014=,2017-09-11 20:00:00
72,SBMG,2017-09-11 21:00:00,METAR SBMG 112100Z 28005KT CAVOK 31/12 Q1014=,2017-09-11 20:59:37
73,SBMG,2017-09-11 22:00:00,METAR SBMG 112200Z 00000KT CAVOK 31/12 Q1015=,2017-09-11 22:02:07
74,SBMG,2017-09-11 23:00:00,METAR SBMG 112300Z 27002KT CAVOK 29/12 Q1015=,2017-09-11 23:02:10
75,SBMG,2017-09-12 00:00:00,METAR SBMG 120000Z 26002KT CAVOK 28/13 Q1016=,2017-09-12 00:00:58
76,SBMG,2017-09-12 01:00:00,METAR SBMG 120100Z 09007KT CAVOK 28/12 Q1016=,2017-09-12 01:01:52
77,SBMG,2017-09-12 02:00:00,METAR SBMG 120200Z 09005KT CAVOK 27/13 Q1016=,2017-09-12 02:00:39
78,SBMG,2017-09-12 03:00:00,METAR SBMG 120300Z 27003KT CAVOK 24/12 Q1017=,2017-09-12 03:02:57
79,SBMG,2017-09-12 04:00:00,METAR SBMG 120400Z 00000KT CAVOK 24/12 Q1016=,2017-09-12 03:58:12
80,SBMG,2017-09-12 05:00:00,METAR SBMG 120500Z 02003KT CAVOK 24/12 Q1016=,2017-09-12 04:55:33
81,SBMG,2017-09-12 06:00:00,METAR SBMG 120600Z 00000KT CAVOK 25/12 Q1016=,2017-09-12 05:57:38
82,SBMG,2017-09-12 07:00:00,METAR SBMG 120700Z 00000KT CAVOK 24/12 Q1016=,2017-09-12 06:59:16
83,SBMG,2017-09-12 08:00:00,METAR SBMG 120800Z 05002KT CAVOK 24/12 Q1016=,2017-09-12 07:59:49
84,SBMG,2017-09-12 09:00:00,METAR SBMG 120900Z 05009KT CAVOK 23/12 Q1016=,2017-09-12 08:58:27
85,SBMG,2017-09-12 10:00:00,METAR SBMG 121000Z 07003KT 7000 NSC 23/12 Q1017=,2017-09-12 09:58:17
86,SBMG,2017-09-12 11:00:00,METAR SBMG 121100Z 07006KT 7000 NSC 27/13 Q1018=,2017-09-12 10:59:24
87,SBMG,2017-09-12 12:00:00,METAR SBMG 121200Z 05009KT CAVOK 29/12 Q1018=,2017-09-12 11:59:29
88,SBMG,2017-09-12 13:00:00,METAR SBMG 121300Z 02010KT CAVOK 31/12 Q1019=,2017-09-12 12:58:12
89,SBMG,2017-09-12 14:00:00,METAR SBMG 121400Z 02007KT CAVOK 33/13 Q1019=,2017-09-12 13:58:15
90,SBMG,2017-09-12 15:00:00,METAR SBMG 121500Z 04006KT CAVOK 34/12 Q1018=,2017-09-12 14:59:30
91,SBMG,2017-09-12 16:00:00,METAR SBMG 121600Z 05006KT CAVOK 34/12 Q1017=,2017-09-12 15:59:34
92,SBMG,2017-09-12 17:00:00,METAR SBMG 121700Z 05004KT CAVOK 35/11 Q1016=,2017-09-12 16:59:30
93,SBMG,2017-09-12 18:00:00,METAR SBMG 121800Z 08005KT CAVOK 35/11 Q1015=,2017-09-12 17:59:32
94,SBMG,2017-09-12 19:00:00,METAR SBMG 121900Z 05005KT CAVOK 35/11 Q1015=,2017-09-12 19:00:01
95,SBMG,2017-09-12 20:00:00,METAR SBMG 122000Z 04007KT CAVOK 35/12 Q1015=,2017-09-12 19:59:25
96,SBMG,2017-09-12 21:00:00,METAR SBMG 122100Z 07005KT 9999 FEW045 32/13 Q1015=,2017-09-12 20:59:47
97,SBMG,2017-09-12 22:00:00,METAR SBMG 122200Z 07007KT 9999 FEW045 30/12 Q1016=,2017-09-12 22:01:17
