,id_localidade,validade_inicial,mens,recebimento
0,SBMM,2020-09-09 00:00:00,METAR SBMM 090000Z AUTO 03023KT 9999 NCD 24/19 Q1017 W///S4=,2020-09-09 00:01:14
1,SBMM,2020-09-09 01:00:00,METAR SBMM 090100Z AUTO 02022KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 01:00:43
2,SBMM,2020-09-09 02:00:00,METAR SBMM 090200Z AUTO 03023KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 02:00:31
3,SBMM,2020-09-09 03:00:00,METAR SBMM 090300Z AUTO 03020KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 03:00:32
4,SBMM,2020-09-09 04:00:00,METAR SBMM 090400Z AUTO 03020KT 9999 BKN024 24/19 Q1018 W///S4=,2020-09-09 04:00:23
5,SBMM,2020-09-09 05:00:00,METAR SBMM 090500Z AUTO 03020KT 9999 NCD 24/19 Q1017 W///S4=,2020-09-09 05:00:58
6,SBMM,2020-09-09 06:00:00,METAR SBMM 090600Z AUTO 03018KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 06:00:51
7,SBMM,2020-09-09 07:00:00,METAR SBMM 090700Z AUTO 03016KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 07:00:37
8,SBMM,2020-09-09 08:00:00,METAR SBMM 090800Z AUTO 03017KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 08:00:39
9,SBMM,2020-09-09 09:00:00,METAR SBMM 090900Z AUTO 02017KT 9999 NCD 24/19 Q1018 W///S4=,2020-09-09 09:00:22
10,SBMM,2020-09-09 10:00:00,METAR SBMM 091000Z AUTO 02018KT 9999 NCD 24/19 Q1019 W///S4=,2020-09-09 10:00:44
11,SBMM,2020-09-09 11:00:00,METAR SBMM 091100Z AUTO 02016KT 9999 NCD 24/19 Q1020 W///S4=,2020-09-09 11:00:46
12,SBMM,2020-09-09 12:00:00,METAR SBMM 091200Z AUTO 02015KT 9999 NCD 24/19 Q1020 W///S4=,2020-09-09 12:00:44
